                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4876,                 4.3799,                 1.1912,                      0,                      0,                      0,                      0,                 1.5386,                  4.328,                 1.2297,                  0.091,                  0.001,                  0.001
                      2,                 1.3798,                 2.6604,                 1.2053,                0.00464,                0.27778,                0.01698,                0.00268,                 1.9253,                 4.2677,                  1.525,                0.08109,              0.0020896,              0.0020896
                      3,                  1.358,                  2.302,                 1.2752,                0.51498,                0.05556,                0.05579,                0.02772,                 3.1667,                 17.584,                 9.0429,               0.071168,              0.0031683,              0.0031683
                      4,                 1.4359,                 2.0281,                 1.3171,                0.00145,                0.27778,                0.00458,                0.00194,                 3.3242,                    inf,                 11.437,               0.061236,              0.0042361,              0.0042361
                      5,                 1.4064,                 1.9472,                 1.2854,                0.00033,                0.05556,                0.00025,                  3e-05,                 2.7868,                    inf,                 15.073,               0.051293,              0.0052931,              0.0052931
                      6,                  1.311,                 1.8378,                 1.2219,                0.00033,                0.05556,                0.00025,                  3e-05,                  3.536,                    inf,                 14.302,               0.041339,              0.0063391,              0.0063391
                      7,                 1.3115,                 1.6522,                 1.2718,                0.00033,                0.05556,                0.00025,                  3e-05,                 4.5185,                    inf,                 23.095,               0.031374,              0.0073743,              0.0073743
                      8,                 1.3336,                 1.6541,                 1.2709,                0.00033,                0.05556,                0.00025,                  3e-05,                 4.1934,                    inf,                 49.234,               0.021399,              0.0083985,              0.0083985
                      9,                 1.3534,                 1.6455,                 1.2159,                0.00033,                0.05556,                0.00025,                  3e-05,                 4.2106,                    inf,                 29.341,               0.011412,              0.0094119,              0.0094119
                     10,                 1.2567,                 1.5617,                 1.1984,                0.00033,                0.05556,                0.00025,                  3e-05,                  4.955,                    inf,                 21.106,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1913,                 1.3977,                 1.1816,                0.00033,                0.05556,                0.00025,                  3e-05,                 4.1941,                 1849.7,                 5.6695,               0.009505,               0.009505,               0.009505
                     12,                 1.2827,                 1.4752,                 1.1999,                0.02505,                0.27778,                0.03305,                0.02632,                 1.7208,                 617.87,                 1.5196,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1701,                 1.4519,                 1.1641,                0.33806,                0.11111,                0.00168,                0.00064,                  2.037,                 866.84,                 1.7649,               0.009406,               0.009406,               0.009406
                     14,                  1.203,                 1.3782,                 1.1651,                0.66667,                0.16667,                0.26145,                0.16109,                  1.603,                 11.465,                 1.2841,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1428,                 1.2487,                 1.1188,                0.55914,                0.72222,                0.68016,                0.37785,                 1.3648,                 5.0233,                 1.2291,               0.009307,               0.009307,               0.009307
                     16,                 1.1187,                 1.1664,                 1.1362,                0.57965,                0.72222,                0.52639,                0.28999,                 1.4063,                 8.8965,                 1.1855,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2033,                 1.2384,                 1.1645,                0.66758,                 0.7054,                0.72386,                0.47621,                 1.2997,                 6.1077,                 1.1098,               0.009208,               0.009208,               0.009208
                     18,                 1.0835,                 1.1378,                 1.0852,                0.21713,                0.66667,                0.35065,                 0.2388,                 1.3704,                 7.7031,                 1.2697,              0.0091585,              0.0091585,              0.0091585
